epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.52993,0.87652,3.36791,1.1602,0.00465,0.79578,0.19424,0.14796,0.56515,3.18239,1.0517,0.00011432,0.00011432,0.00011432
2,13.8497,0.79855,2.75589,1.10841,0.00427,0.77217,0.26767,0.1903,0.88408,3.09974,1.31958,0.000241327,0.000241327,0.000241327
3,19.1699,0.81981,2.32528,1.09787,0.6537,0.17118,0.35825,0.23847,0.9051,2.9916,1.40577,0.000366636,0.000366636,0.000366636
4,24.6678,0.87512,2.11147,1.10541,0.94454,0.04264,0.32491,0.1825,1.1185,3.05751,1.69322,0.000490247,0.000490247,0.000490247
5,29.5335,0.89237,1.94294,1.10844,0.5481,0.19169,0.33054,0.17799,1.16599,3.12064,1.67502,0.000612161,0.000612161,0.000612161
6,35.043,0.91889,1.96102,1.13227,0.69014,0.06846,0.20764,0.10492,1.46155,3.21587,2.18867,0.000732377,0.000732377,0.000732377
7,39.6268,0.90219,1.82409,1.12358,0.48537,0.24558,0.3005,0.17483,1.36323,2.99419,2.03893,0.000850895,0.000850895,0.000850895
8,44.7401,0.84329,1.64807,1.11838,0.84658,0.22596,0.3537,0.23136,1.26583,2.98711,1.75754,0.000967716,0.000967716,0.000967716
9,49.9618,0.8838,1.70931,1.13541,0.23936,0.32246,0.20862,0.09465,1.45377,3.05287,2.23543,0.00108284,0.00108284,0.00108284
10,54.9819,0.9008,1.75148,1.14115,0.42799,0.3508,0.34737,0.18691,1.45419,2.72384,1.91963,0.00119626,0.00119626,0.00119626
11,61.0406,0.95568,1.68789,1.1501,0.31214,0.25201,0.23948,0.13693,1.66814,3.17767,2.01861,0.00130799,0.00130799,0.00130799
12,66.1469,0.96853,1.68908,1.16482,0.31804,0.2958,0.19013,0.09229,2.16354,3.46379,2.59365,0.00132525,0.00132525,0.00132525
13,70.6637,0.95172,1.67971,1.18555,0.49792,0.25844,0.24029,0.13552,1.99664,3.15865,2.77704,0.00131582,0.00131582,0.00131582
14,76.5838,0.93609,1.62807,1.17989,0.22569,0.28094,0.18095,0.11663,1.74719,5.89011,2.25654,0.00130639,0.00130639,0.00130639
15,81.4011,0.93619,1.54867,1.16944,0.32555,0.38467,0.27773,0.16018,1.68267,3.66994,2.365,0.00129696,0.00129696,0.00129696
16,87.09,0.86575,1.5061,1.16284,0.25924,0.24786,0.20983,0.11413,1.80411,3.10604,2.35068,0.00128753,0.00128753,0.00128753
17,92.7024,0.92364,1.43315,1.13717,0.31556,0.32254,0.22952,0.13943,1.77009,2.89948,2.0564,0.0012781,0.0012781,0.0012781
18,97.4052,0.92376,1.43357,1.13365,0.42054,0.26984,0.26563,0.17691,1.53826,4.06685,1.93725,0.00126867,0.00126867,0.00126867
19,103.633,0.91049,1.38912,1.15589,0.60244,0.31971,0.39036,0.25569,1.44397,4.05755,1.86682,0.00125923,0.00125923,0.00125923
20,108.407,0.92774,1.38525,1.13346,0.57641,0.29808,0.33582,0.20064,1.50738,2.76416,1.8199,0.0012498,0.0012498,0.0012498
