epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.17597,2.77821,4.46978,1.62324,0.00182,0.04,0.0016,0.00032,1.67523,4.3902,1.15811,8e-05,8e-05,8e-05
2,6.34027,2.24679,4.38112,1.42135,0,0,0,0,1.67721,4.264,1.12931,0.000167195,0.000167195,0.000167195
3,7.40037,2.19912,4.20748,1.37374,0.00192,0.2,0.00524,0.00157,1.52992,4.17324,1.07021,0.00025142,0.00025142,0.00025142
4,8.46338,2.0119,3.95595,1.28879,0.00718,0.32,0.01088,0.00594,1.66867,4.02857,1.12551,0.000332675,0.000332675,0.000332675
5,9.54266,2.22553,3.70542,1.32135,0.0069,0.2,0.168,0.1355,1.77539,3.5633,1.1677,0.00041096,0.00041096,0.00041096
6,11.0791,2.05988,3.38662,1.22622,1,0.10696,0.17006,0.10965,2.04128,3.21905,1.23865,0.000486275,0.000486275,0.000486275
7,12.6414,2.10861,3.30649,1.23073,0.75248,0.12992,0.18622,0.11643,2.16293,3.07905,1.25971,0.00055862,0.00055862,0.00055862
8,13.6923,2.00958,3.13659,1.21807,0.75191,0.26667,0.19777,0.09755,2.07178,2.7774,1.23331,0.000627995,0.000627995,0.000627995
9,14.7214,2.103,3.06503,1.21219,0.81404,0.18667,0.21901,0.13901,2.02365,2.64117,1.20769,0.0006944,0.0006944,0.0006944
10,15.759,2.09674,2.9646,1.2223,0.78525,0.26136,0.22838,0.14575,1.93438,2.55342,1.16997,0.000757835,0.000757835,0.000757835
11,16.8124,2.04892,2.69956,1.21582,0.78823,0.26667,0.21816,0.14334,1.88606,2.62665,1.17177,0.0008183,0.0008183,0.0008183
12,17.8613,2.19089,2.7766,1.21622,0.99345,0.2,0.25368,0.14315,1.8915,2.68822,1.15707,0.0008185,0.0008185,0.0008185
13,18.8949,2.12362,2.61213,1.2092,0.74826,0.26667,0.22803,0.13088,2.00649,2.68271,1.19719,0.000802,0.000802,0.000802
