epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.16051,1.09969,3.46756,1.29602,0.00527,0.75907,0.24032,0.16519,0.62658,3.12216,1.08089,0.00011432,0.00011432,0.00011432
2,13.5204,1.108,2.90171,1.28468,0.00522,0.8332,0.28705,0.20275,0.75815,3.03712,1.17529,0.000241727,0.000241727,0.000241727
3,18.7719,1.0705,2.39946,1.28447,0.00439,0.71802,0.17594,0.12325,1.07834,3.15737,1.43957,0.000367862,0.000367862,0.000367862
4,23.5678,1.02047,2.23753,1.23973,0.41763,0.28316,0.28823,0.19652,1.08887,3.02777,1.59259,0.000492723,0.000492723,0.000492723
5,28.5786,1.14579,2.14859,1.30957,0.60535,0.05006,0.20826,0.11813,1.25407,3.01816,1.80516,0.000616311,0.000616311,0.000616311
6,34.0564,1.15181,2.08148,1.27343,0.56941,0.0731,0.1971,0.11779,1.44095,2.97848,1.9225,0.000738625,0.000738625,0.000738625
7,38.9218,1.07194,1.94448,1.27741,0.38645,0.29897,0.28358,0.16278,1.46806,2.85632,1.94081,0.000859666,0.000859666,0.000859666
8,44.3484,1.12772,1.91269,1.27925,0.44218,0.34453,0.38935,0.24754,1.3432,2.51729,1.84774,0.000979434,0.000979434,0.000979434
9,49.2293,1.08526,1.79829,1.26531,0.41613,0.41763,0.36,0.20604,1.40924,2.64983,1.89218,0.00109793,0.00109793,0.00109793
10,53.6753,1.12328,1.82303,1.3108,0.33263,0.35393,0.3093,0.17276,1.60249,2.66947,2.07107,0.00121515,0.00121515,0.00121515
11,59.1163,1.17509,1.85415,1.34593,0.57833,0.19022,0.23072,0.13818,1.57858,3.35315,1.98142,0.0013311,0.0013311,0.0013311
12,63.7713,1.17238,1.85633,1.33917,0.45225,0.21789,0.21407,0.10713,1.64299,3.48534,2.39051,0.00135119,0.00135119,0.00135119
13,68.6269,1.18897,1.80747,1.33187,0.57857,0.16203,0.18287,0.09299,1.72736,10.2599,2.53731,0.00134412,0.00134412,0.00134412
14,74.074,1.28235,1.86585,1.39537,0.18924,0.22432,0.12923,0.07043,1.93842,6.59459,2.85876,0.00133704,0.00133704,0.00133704
15,78.7909,1.20893,1.82881,1.40571,0.36702,0.24498,0.17581,0.08385,1.91288,3.74571,2.32416,0.00132997,0.00132997,0.00132997
16,83.7894,1.25989,1.81949,1.38835,0.2653,0.24638,0.2087,0.11874,1.71496,3.05067,2.24342,0.0013229,0.0013229,0.0013229
17,88.7717,1.18386,1.71296,1.33536,0.32503,0.28373,0.16587,0.07042,1.9087,4.77263,2.50821,0.00131582,0.00131582,0.00131582
18,93.7869,1.13511,1.6323,1.34675,0.72719,0.1982,0.09759,0.04039,1.97484,8.20904,2.39974,0.00130875,0.00130875,0.00130875
19,99.0085,1.15866,1.63468,1.33919,0.36827,0.31913,0.20543,0.10397,1.56721,3.34952,2.03544,0.00130168,0.00130168,0.00130168
20,103.729,1.09683,1.47318,1.27996,0.25338,0.42149,0.27293,0.15124,1.72252,3.0153,2.03041,0.0012946,0.0012946,0.0012946
21,108.518,1.15386,1.56697,1.28059,0.39545,0.38494,0.35825,0.19688,1.78449,2.67002,2.13501,0.00128753,0.00128753,0.00128753
22,113.572,1.14194,1.5201,1.30316,0.2711,0.2668,0.22589,0.12853,1.87193,3.04057,2.23603,0.00128046,0.00128046,0.00128046
23,118.534,1.14532,1.50382,1.32542,0.45842,0.38409,0.39236,0.21803,1.68079,2.24435,2.07546,0.00127338,0.00127338,0.00127338
24,123.778,1.10419,1.38749,1.28385,0.54473,0.43349,0.47022,0.27502,1.75485,2.11043,2.03179,0.00126631,0.00126631,0.00126631
25,128.612,1.01868,1.25589,1.23769,0.60111,0.42865,0.4934,0.32519,1.52154,1.9869,1.94016,0.00125923,0.00125923,0.00125923
26,133.44,1.00676,1.3085,1.23264,0.55922,0.48146,0.47399,0.30411,1.47353,2.00701,1.87406,0.00125216,0.00125216,0.00125216
27,138.693,1.10646,1.39466,1.26813,0.67286,0.39151,0.44819,0.28275,1.43855,2.16634,1.82895,0.00124509,0.00124509,0.00124509
28,143.26,1.06245,1.40187,1.25764,0.47171,0.44919,0.43739,0.26426,1.50265,2.0855,1.78189,0.00123801,0.00123801,0.00123801
29,147.96,1.05292,1.30742,1.25973,0.51672,0.42806,0.44607,0.26774,1.54815,2.30668,1.82554,0.00123094,0.00123094,0.00123094
30,152.918,1.02896,1.30557,1.25424,0.5715,0.53874,0.53241,0.34709,1.2664,1.84667,1.59845,0.00122387,0.00122387,0.00122387
31,157.335,1.02549,1.30532,1.28428,0.47282,0.54128,0.49712,0.31171,1.40207,2.32786,1.72632,0.00121679,0.00121679,0.00121679
32,162.519,0.9849,1.16015,1.20417,0.5741,0.49327,0.43772,0.26611,1.40605,2.54552,1.7614,0.00120972,0.00120972,0.00120972
33,167.798,0.96029,1.21577,1.21474,0.75071,0.42762,0.51282,0.32159,1.34756,2.07653,1.71092,0.00120265,0.00120265,0.00120265
34,172.481,1.00432,1.22882,1.23419,0.52049,0.45372,0.41039,0.27113,1.3892,2.44916,1.76034,0.00119557,0.00119557,0.00119557
35,177.681,0.99502,1.21522,1.24168,0.57505,0.45464,0.44508,0.29737,1.3683,2.20321,1.70936,0.0011885,0.0011885,0.0011885
