epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2503,1.36885,2.90899,1.37589,0.05677,0.10577,0.04701,0.02028,1.5922,3.58178,2.02836,0.000469224,0.000469224,0.000469224
2,42.0035,1.42422,2.52042,1.42476,0.40844,0.08176,0.06929,0.04123,2.00636,3.32352,2.33962,0.000940877,0.000940877,0.000940877
3,61.64,1.55918,2.54724,1.55744,0.22802,0.36091,0.15343,0.07697,2.13427,12.2122,2.89574,0.00140781,0.00140781,0.00140781
4,79.9022,1.63537,2.32642,1.5678,0.4458,0.2113,0.19239,0.13761,2.19892,4.05748,2.26312,0.00140778,0.00140778,0.00140778
5,99.5458,1.52499,2.18921,1.50981,0.7952,0.10692,0.11731,0.05737,2.0006,5.8527,2.2096,0.00140071,0.00140071,0.00140071
6,117.673,1.4781,2.11517,1.47909,0.1762,0.21514,0.13484,0.06876,1.90149,3.52405,2.04537,0.00139363,0.00139363,0.00139363
7,136.654,1.4648,2.06023,1.46384,0.38906,0.21719,0.24339,0.15924,1.66689,2.95731,1.87113,0.00138656,0.00138656,0.00138656
8,155.187,1.43164,1.90398,1.42556,0.2646,0.30355,0.28398,0.15535,1.75606,2.98986,2.00502,0.00137949,0.00137949,0.00137949
9,173.533,1.39777,1.86775,1.41561,0.41637,0.24635,0.28144,0.17038,1.65798,5.13384,1.84442,0.00137241,0.00137241,0.00137241
10,192.755,1.36005,1.75875,1.40318,0.4052,0.34247,0.26477,0.15818,1.79642,2.4829,1.86524,0.00136534,0.00136534,0.00136534
11,211.426,1.33644,1.69864,1.36337,0.45938,0.40622,0.3813,0.25196,1.63027,3.07177,1.89027,0.00135826,0.00135826,0.00135826
12,230.594,1.34837,1.7209,1.40578,0.22369,0.5338,0.27549,0.16827,1.49449,2.35873,1.77896,0.00135119,0.00135119,0.00135119
13,248.986,1.33718,1.62438,1.37157,0.52176,0.26845,0.36489,0.23472,1.65181,2.57127,1.80597,0.00134412,0.00134412,0.00134412
14,268.178,1.32058,1.58171,1.36904,0.33001,0.54037,0.33349,0.22539,1.60525,2.63316,1.77764,0.00133704,0.00133704,0.00133704
15,286.842,1.25462,1.54924,1.31797,0.62495,0.41298,0.48342,0.31298,1.5184,2.10526,1.66888,0.00132997,0.00132997,0.00132997
16,305.579,1.28311,1.50585,1.34008,0.62685,0.45501,0.49547,0.3504,1.57635,2.37601,1.66998,0.0013229,0.0013229,0.0013229
17,324.496,1.23019,1.45136,1.31044,0.35012,0.40246,0.39541,0.2452,1.71182,2.66974,1.93392,0.00131582,0.00131582,0.00131582
18,343.04,1.17395,1.39757,1.2774,0.54313,0.45222,0.48267,0.32059,1.4347,2.14878,1.6441,0.00130875,0.00130875,0.00130875
19,361.246,1.21819,1.3547,1.28896,0.51262,0.31503,0.36203,0.23554,1.72322,2.21449,2.02741,0.00130168,0.00130168,0.00130168
20,380.389,1.15603,1.34261,1.27196,0.45665,0.38527,0.34035,0.23161,1.81047,2.95853,2.15565,0.0012946,0.0012946,0.0012946
21,398.194,1.13271,1.28474,1.26278,0.47653,0.4378,0.42126,0.28409,1.53483,2.39949,1.62198,0.00128753,0.00128753,0.00128753
22,417.88,1.13484,1.26683,1.24988,0.60288,0.37886,0.3832,0.24141,1.51685,2.08769,1.68238,0.00128046,0.00128046,0.00128046
23,435.171,1.12181,1.24782,1.22869,0.47637,0.40691,0.37973,0.26016,1.46899,2.32702,1.62473,0.00127338,0.00127338,0.00127338
24,453.644,1.12795,1.2376,1.23672,0.71318,0.37425,0.48254,0.33425,1.52956,2.08242,1.71462,0.00126631,0.00126631,0.00126631
25,472.53,1.12876,1.2233,1.26195,0.79424,0.35182,0.42885,0.26177,1.60533,1.99909,1.86127,0.00125923,0.00125923,0.00125923
26,490.731,1.09748,1.16824,1.21394,0.43409,0.35522,0.37497,0.23384,1.55266,2.50757,1.68178,0.00125216,0.00125216,0.00125216
27,509.724,1.11811,1.19344,1.2307,0.43566,0.55564,0.41169,0.2836,1.39612,2.37959,1.61483,0.00124509,0.00124509,0.00124509
28,527.929,1.06212,1.16018,1.20315,0.7237,0.52124,0.57623,0.3851,1.41023,2.29939,1.65601,0.00123801,0.00123801,0.00123801
29,545.859,1.0792,1.10436,1.21638,0.60089,0.4906,0.50382,0.3292,1.61406,2.34665,1.80327,0.00123094,0.00123094,0.00123094
30,565.826,1.08982,1.10367,1.19709,0.55878,0.52886,0.51032,0.35297,1.49418,2.08585,1.68703,0.00122387,0.00122387,0.00122387
31,583.883,1.04986,1.06634,1.18315,0.48343,0.4214,0.42456,0.27485,1.5851,2.39538,1.81221,0.00121679,0.00121679,0.00121679
32,603.19,1.07099,1.09551,1.19905,0.64679,0.39063,0.50393,0.32711,1.38634,1.85524,1.6015,0.00120972,0.00120972,0.00120972
33,622.013,1.03334,1.06367,1.14788,0.63779,0.43994,0.54112,0.40754,1.37291,2.14222,1.62846,0.00120265,0.00120265,0.00120265
34,640.471,1.01644,1.00399,1.14326,0.49432,0.52683,0.43789,0.28768,1.64248,2.04148,1.95476,0.00119557,0.00119557,0.00119557
35,660.018,1.01818,1.025,1.15779,0.576,0.33499,0.39519,0.27813,1.65773,2.40802,1.88508,0.0011885,0.0011885,0.0011885
36,678.32,0.99216,1.01733,1.15346,0.70875,0.42572,0.45273,0.34558,1.46054,2.30272,1.6551,0.00118143,0.00118143,0.00118143
37,698,1.00573,0.99757,1.15869,0.58301,0.43507,0.47494,0.33737,1.48793,2.14334,1.63997,0.00117435,0.00117435,0.00117435
38,716.338,0.99736,0.97852,1.14775,0.52589,0.33385,0.3363,0.2143,1.4701,2.11125,1.68228,0.00116728,0.00116728,0.00116728
