epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.24663,0.76598,3.43267,1.10832,0.00349,0.8343,0.24871,0.1738,0.51827,3.14842,1.00988,0.00010003,0.00010003,0.00010003
2,13.0412,0.71077,2.82271,1.10803,0.00358,0.81426,0.30561,0.21947,0.76749,3.04733,1.28882,0.000212935,0.000212935,0.000212935
3,18.0443,0.75886,2.35708,1.09684,0.00367,0.8761,0.34248,0.25424,0.71128,2.84755,1.23805,0.000324332,0.000324332,0.000324332
4,23.3648,0.72787,2.12892,1.04533,0.06242,0.80276,0.42302,0.27459,0.90188,2.82334,1.41661,0.000434219,0.000434219,0.000434219
5,28.5131,0.73839,1.94332,1.05104,0.77462,0.18446,0.45774,0.31166,1.1421,2.82383,1.77244,0.000542597,0.000542597,0.000542597
6,33.1411,0.83125,1.8447,1.12757,0.78552,0.16669,0.30625,0.18485,1.22624,3.07672,2.06071,0.000649466,0.000649466,0.000649466
7,38.1275,0.7497,1.64703,1.08643,0.42759,0.32718,0.30663,0.19105,1.24617,3.02097,1.98835,0.000754826,0.000754826,0.000754826
8,42.8601,0.72594,1.61647,1.06423,0.48854,0.31055,0.24229,0.13409,1.32484,2.93285,2.16446,0.000858678,0.000858678,0.000858678
9,47.2776,0.7743,1.6464,1.08244,0.476,0.21963,0.24258,0.15765,1.19387,3.03397,1.81535,0.00096102,0.00096102,0.00096102
10,52.4942,0.76768,1.55995,1.10448,0.43767,0.19984,0.2045,0.08973,1.4539,4.0056,2.27271,0.00106185,0.00106185,0.00106185
11,57.5332,0.78704,1.5629,1.0981,0.18288,0.22731,0.13083,0.06833,1.78968,4.28335,3.21095,0.00116118,0.00116118,0.00116118
12,62.3403,0.84686,1.58893,1.12749,0.27145,0.26957,0.22401,0.11346,1.55037,3.43298,2.41635,0.00125899,0.00125899,0.00125899
13,67.6816,0.78878,1.51083,1.11141,0.45785,0.37816,0.3015,0.14944,1.53958,2.9442,2.21999,0.00131582,0.00131582,0.00131582
14,72.353,0.77858,1.4646,1.11627,0.36304,0.31745,0.28514,0.1435,1.76449,2.76241,2.59343,0.00130639,0.00130639,0.00130639
15,77.8798,0.78698,1.45343,1.10927,0.50708,0.40831,0.41949,0.23608,1.40305,3.17847,1.86208,0.00129696,0.00129696,0.00129696
16,82.7427,0.80236,1.45151,1.09773,0.49127,0.26132,0.25844,0.15725,1.76961,10.2034,2.05971,0.00128753,0.00128753,0.00128753
17,87.4716,0.7811,1.35528,1.10323,0.27938,0.27393,0.17907,0.09378,2.20757,8.27468,2.64069,0.0012781,0.0012781,0.0012781
18,93.2789,0.84177,1.40326,1.1389,0.37484,0.27863,0.24511,0.11888,1.87418,3.58926,2.27634,0.00126867,0.00126867,0.00126867
19,97.8433,0.84496,1.36758,1.13326,0.63832,0.30281,0.37437,0.23503,1.64906,3.14232,1.94286,0.00125923,0.00125923,0.00125923
20,103.016,0.84786,1.38101,1.13665,0.69714,0.24179,0.32097,0.20975,1.85882,3.5812,2.10252,0.0012498,0.0012498,0.0012498
21,108.393,0.77695,1.30163,1.08927,0.53071,0.31962,0.40059,0.24682,1.55193,3.61769,2.00252,0.00124037,0.00124037,0.00124037
22,112.735,0.76771,1.2858,1.08457,0.4898,0.28553,0.32278,0.21433,1.47187,2.9257,1.90172,0.00123094,0.00123094,0.00123094
23,118.176,0.7714,1.22111,1.0751,0.60637,0.29779,0.39756,0.27619,1.33684,2.57885,1.75155,0.00122151,0.00122151,0.00122151
24,122.967,0.73948,1.19966,1.07744,0.3949,0.43333,0.35705,0.25424,1.3682,2.50934,1.82017,0.00121208,0.00121208,0.00121208
25,127.644,0.79722,1.27065,1.10651,0.54188,0.31218,0.32522,0.23044,1.52716,2.34486,1.86346,0.00120265,0.00120265,0.00120265
26,133.51,0.71307,1.13642,1.04772,0.5102,0.38714,0.40552,0.25577,1.40173,2.38366,1.74299,0.00119322,0.00119322,0.00119322
27,138.144,0.74333,1.10659,1.05122,0.73778,0.41104,0.52868,0.34787,1.22688,1.90102,1.62872,0.00118378,0.00118378,0.00118378
28,143.274,0.73045,1.05586,1.04844,0.8384,0.4358,0.57684,0.36702,1.1002,1.65329,1.43359,0.00117435,0.00117435,0.00117435
29,148.108,0.68342,1.0279,1.07046,0.49981,0.53788,0.47415,0.28942,1.35931,2.09914,1.73566,0.00116492,0.00116492,0.00116492
30,153.101,0.71848,1.03465,1.05071,0.73838,0.43179,0.5099,0.33996,1.38634,2.48054,1.85209,0.00115549,0.00115549,0.00115549
31,158.533,0.74869,1.05079,1.07352,0.71043,0.41859,0.48653,0.34568,1.39,1.94777,1.82586,0.00114606,0.00114606,0.00114606
32,163.503,0.72234,1.0377,1.07379,0.51315,0.337,0.35475,0.27013,1.26334,2.51862,1.64987,0.00113663,0.00113663,0.00113663
33,168.027,0.7557,1.06835,1.08663,0.48199,0.52641,0.52898,0.37012,1.35153,2.24573,1.8075,0.0011272,0.0011272,0.0011272
34,173.84,0.7079,1.05834,1.06779,0.58871,0.57841,0.53639,0.39447,1.23553,2.08694,1.64564,0.00111776,0.00111776,0.00111776
35,178.391,0.67714,0.9685,1.02487,0.64451,0.64288,0.67564,0.48081,1.10514,1.94522,1.56692,0.00110833,0.00110833,0.00110833
36,183.545,0.65442,0.90623,1.03015,0.74974,0.60758,0.67953,0.46691,1.27023,1.89222,1.72291,0.0010989,0.0010989,0.0010989
37,188.359,0.64619,0.92063,1.03575,0.71909,0.50496,0.6166,0.45651,1.14966,1.72797,1.60077,0.00108947,0.00108947,0.00108947
38,193.139,0.67194,0.91025,1.02471,0.56709,0.58757,0.60449,0.41584,1.07222,1.86995,1.49028,0.00108004,0.00108004,0.00108004
39,198.52,0.64832,0.92271,1.00804,0.68914,0.5148,0.59445,0.44282,1.33478,1.92747,1.62554,0.00107061,0.00107061,0.00107061
40,203.198,0.66821,0.9032,1.04182,0.73896,0.64042,0.70501,0.52169,1.0067,1.6899,1.40405,0.00106118,0.00106118,0.00106118
41,207.927,0.6734,0.88837,1.03601,0.79002,0.62925,0.72823,0.54038,1.04595,1.65015,1.43101,0.00105174,0.00105174,0.00105174
42,213.428,0.63362,0.83248,1.02698,0.70321,0.58613,0.64428,0.48154,1.20536,1.72662,1.67254,0.00104231,0.00104231,0.00104231
43,218.271,0.64292,0.82533,1.02069,0.55469,0.57118,0.58569,0.45295,0.96482,1.68628,1.37566,0.00103288,0.00103288,0.00103288
44,223.083,0.66158,0.79316,1.00228,0.71234,0.526,0.60105,0.43348,1.20573,1.67353,1.69631,0.00102345,0.00102345,0.00102345
45,228.431,0.62221,0.83094,1.00648,0.67437,0.61897,0.66498,0.48534,1.09718,1.50083,1.54544,0.00101402,0.00101402,0.00101402
46,232.962,0.61858,0.77527,1.00367,0.755,0.57929,0.61208,0.45988,1.05736,1.73703,1.41995,0.00100459,0.00100459,0.00100459
47,238.443,0.66227,0.87173,1.01553,0.75468,0.67545,0.68389,0.49315,1.17976,1.66578,1.50443,0.000995156,0.000995156,0.000995156
48,243.037,0.64049,0.84547,1.01317,0.7062,0.57392,0.57875,0.43206,1.06659,1.9108,1.39391,0.000985724,0.000985724,0.000985724
49,247.518,0.60345,0.73432,0.99186,0.69864,0.65601,0.69405,0.52773,0.93295,1.60042,1.34566,0.000976293,0.000976293,0.000976293
50,252.797,0.62945,0.81706,1.03031,0.56503,0.62226,0.59268,0.43625,1.06024,2.10071,1.54963,0.000966861,0.000966861,0.000966861
51,257.564,0.60192,0.7916,1.00811,0.75591,0.51696,0.64563,0.46847,1.01882,1.65692,1.59754,0.00095743,0.00095743,0.00095743
52,262.311,0.59626,0.76184,0.99072,0.67532,0.61541,0.66263,0.51124,0.86408,1.38777,1.42573,0.000947999,0.000947999,0.000947999
53,267.507,0.56268,0.71432,1.00394,0.78224,0.62158,0.7071,0.5402,0.8173,1.33422,1.24195,0.000938567,0.000938567,0.000938567
54,271.852,0.58712,0.70031,0.98479,0.86863,0.64825,0.73531,0.58304,0.92522,1.3235,1.30041,0.000929136,0.000929136,0.000929136
55,277.25,0.58436,0.69499,0.99906,0.79301,0.63148,0.7296,0.58959,0.83299,1.67453,1.25596,0.000919704,0.000919704,0.000919704
56,282.26,0.60398,0.72094,0.97953,0.83696,0.67927,0.74355,0.57292,0.9924,1.7514,1.39427,0.000910273,0.000910273,0.000910273
57,286.835,0.59404,0.76599,0.99743,0.77051,0.71541,0.77708,0.59911,0.85965,1.37922,1.2927,0.000900842,0.000900842,0.000900842
58,292.375,0.55182,0.68737,0.97761,0.92038,0.66695,0.80582,0.62569,0.86845,1.12988,1.32119,0.00089141,0.00089141,0.00089141
59,297.109,0.53416,0.65063,0.95481,0.84081,0.58238,0.69657,0.5195,0.94966,1.26897,1.42362,0.000881979,0.000881979,0.000881979
60,301.719,0.56557,0.73498,0.97055,0.70065,0.65194,0.70897,0.53023,0.90921,1.47399,1.38956,0.000872547,0.000872547,0.000872547
61,307.31,0.57798,0.68996,0.97946,0.64769,0.46379,0.56733,0.42363,0.85226,2.20391,1.32276,0.000863116,0.000863116,0.000863116
62,311.929,0.5422,0.66178,0.98464,0.76497,0.62186,0.69499,0.50758,0.83076,1.70389,1.31874,0.000853685,0.000853685,0.000853685
63,317.096,0.52252,0.65581,0.9696,0.66332,0.67485,0.73634,0.56745,1.01377,1.63611,1.48969,0.000844253,0.000844253,0.000844253
64,322.215,0.54582,0.66163,0.96512,0.67761,0.61051,0.69029,0.51649,1.0716,1.79976,1.44368,0.000834822,0.000834822,0.000834822
65,326.828,0.52196,0.6586,0.94448,0.81992,0.65121,0.74546,0.56906,0.96254,1.38764,1.33549,0.00082539,0.00082539,0.00082539
66,332.82,0.54164,0.64969,0.9709,0.83498,0.63024,0.75685,0.55348,1.00104,1.26642,1.40946,0.000815959,0.000815959,0.000815959
67,337.638,0.55507,0.66482,0.99469,0.85031,0.66588,0.78492,0.57151,0.87042,1.32594,1.37464,0.000806528,0.000806528,0.000806528
68,342.445,0.53482,0.64918,0.9449,0.69412,0.67352,0.72824,0.52232,0.92789,1.57442,1.49474,0.000797096,0.000797096,0.000797096
69,347.709,0.52948,0.62923,0.9784,0.68866,0.69885,0.72488,0.51863,0.92987,1.54451,1.46385,0.000787665,0.000787665,0.000787665
70,352.137,0.48305,0.59853,0.92814,0.74809,0.55078,0.68432,0.47982,0.9658,1.50287,1.42953,0.000778233,0.000778233,0.000778233
71,357.67,0.52091,0.63644,0.96079,0.70253,0.69367,0.7251,0.52519,1.01712,1.48184,1.44762,0.000768802,0.000768802,0.000768802
72,362.553,0.51888,0.59426,0.94885,0.86308,0.66901,0.74314,0.53761,1.07294,1.65054,1.47155,0.000759371,0.000759371,0.000759371
73,366.713,0.52584,0.60339,0.96549,0.79259,0.68894,0.72506,0.56364,0.96132,1.48852,1.38646,0.000749939,0.000749939,0.000749939
74,372.471,0.50578,0.62814,0.95814,0.73225,0.72979,0.74738,0.56617,1.0201,1.53936,1.47016,0.000740508,0.000740508,0.000740508
75,377.543,0.47929,0.59298,0.92812,0.77203,0.78345,0.80547,0.59582,0.96073,1.11263,1.38769,0.000731076,0.000731076,0.000731076
76,382.781,0.48061,0.57087,0.94241,0.827,0.76141,0.79474,0.63353,0.81538,1.07712,1.26179,0.000721645,0.000721645,0.000721645
77,387.814,0.51096,0.5916,0.95049,0.75459,0.71496,0.78128,0.61414,0.88088,1.48399,1.33121,0.000712214,0.000712214,0.000712214
78,392.415,0.50799,0.56487,0.95587,0.82843,0.64811,0.75016,0.58983,0.91547,1.49902,1.39646,0.000702782,0.000702782,0.000702782
79,398.027,0.50534,0.63132,0.95831,0.81569,0.59157,0.73023,0.56302,0.75186,1.29739,1.27291,0.000693351,0.000693351,0.000693351
80,402.95,0.49244,0.57578,0.94663,0.6344,0.69365,0.70852,0.5593,0.724,1.33417,1.18521,0.000683919,0.000683919,0.000683919
81,407.442,0.4623,0.55637,0.94053,0.84501,0.62368,0.74853,0.6037,0.78306,1.45913,1.22934,0.000674488,0.000674488,0.000674488
82,413.242,0.46805,0.56781,0.92535,0.83714,0.69836,0.77379,0.63939,0.74608,1.28633,1.18959,0.000665057,0.000665057,0.000665057
83,417.744,0.46468,0.59114,0.94261,0.85236,0.69984,0.73945,0.59948,0.76344,1.1775,1.17452,0.000655625,0.000655625,0.000655625
