epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.944,1.04355,2.86737,1.22065,0.65785,0.13229,0.21309,0.15545,0.89187,3.17851,1.03969,0.000469624,0.000469624,0.000469624
2,44.9827,1.21169,2.40539,1.3086,0.48996,0.28279,0.1896,0.10846,1.1223,4.16405,1.31595,0.000941275,0.000941275,0.000941275
3,67.5074,1.27611,2.26464,1.31458,0.71311,0.22342,0.11993,0.04905,1.26629,9.99762,1.58817,0.00140821,0.00140821,0.00140821
4,88.6388,1.256,2.20201,1.36274,0.20343,0.39147,0.2167,0.1283,1.29567,5.3712,1.51557,0.00140778,0.00140778,0.00140778
5,110.647,1.22988,2.0783,1.34609,0.27352,0.43501,0.3486,0.18121,1.10115,3.84215,1.2787,0.00140071,0.00140071,0.00140071
6,131.417,1.25569,1.95177,1.34617,0.22322,0.44836,0.26202,0.13577,1.16562,4.1265,1.31764,0.00139363,0.00139363,0.00139363
7,152.72,1.17524,1.80379,1.30203,0.2273,0.47962,0.23998,0.15383,1.06455,2.37903,1.22965,0.00138656,0.00138656,0.00138656
8,175.389,1.17482,1.73588,1.29539,0.38815,0.55659,0.42338,0.23447,1.10924,2.10183,1.2425,0.00137949,0.00137949,0.00137949
9,195.816,1.1345,1.63762,1.28808,0.35025,0.44357,0.32307,0.21994,1.07239,3.04677,1.21719,0.00137241,0.00137241,0.00137241
10,217.911,1.08023,1.51118,1.24499,0.26741,0.47248,0.32343,0.20293,1.05325,2.30058,1.19921,0.00136534,0.00136534,0.00136534
11,238.752,1.06393,1.47618,1.22713,0.40677,0.48218,0.34874,0.20894,1.1381,2.93183,1.27562,0.00135826,0.00135826,0.00135826
12,259.933,1.05786,1.42785,1.21909,0.23111,0.4457,0.31834,0.21365,1.08381,3.55932,1.20205,0.00135119,0.00135119,0.00135119
13,281.7,1.04877,1.47771,1.21267,0.40519,0.47551,0.39258,0.20629,1.11023,2.7811,1.25466,0.00134412,0.00134412,0.00134412
14,302.609,0.98739,1.33215,1.17411,0.42986,0.32715,0.33061,0.2051,1.03516,2.43901,1.17313,0.00133704,0.00133704,0.00133704
15,324.424,1.00626,1.36918,1.20015,0.35852,0.39627,0.34392,0.23709,0.98056,2.78363,1.17411,0.00132997,0.00132997,0.00132997
16,345.08,0.96562,1.28459,1.1837,0.25979,0.49907,0.32477,0.20623,1.03337,2.7134,1.18735,0.0013229,0.0013229,0.0013229
17,367.357,0.99757,1.2397,1.16379,0.37165,0.40878,0.36704,0.2451,0.95368,1.76491,1.10035,0.00131582,0.00131582,0.00131582
18,388.6,0.94085,1.20054,1.159,0.37656,0.34102,0.37998,0.25789,1.04621,1.68724,1.23345,0.00130875,0.00130875,0.00130875
19,409.454,0.92835,1.1725,1.1422,0.51984,0.48918,0.41541,0.26981,1.06723,2.17843,1.22612,0.00130168,0.00130168,0.00130168
20,431.145,0.96576,1.18432,1.15109,0.438,0.48609,0.43903,0.30304,0.93012,2.47901,1.05504,0.0012946,0.0012946,0.0012946
21,451.644,0.95805,1.1655,1.16127,0.50118,0.50278,0.4449,0.33335,0.97636,1.9568,1.12007,0.00128753,0.00128753,0.00128753
22,473.507,0.92288,1.12321,1.13255,0.38775,0.5504,0.42379,0.30131,0.94413,2.23443,1.12094,0.00128046,0.00128046,0.00128046
23,494.375,0.87502,1.08488,1.12941,0.29476,0.6344,0.43753,0.32544,0.86646,2.06943,1.04988,0.00127338,0.00127338,0.00127338
24,515.851,0.9137,1.11236,1.12801,0.42398,0.42177,0.41087,0.28274,0.90774,3.35046,1.07526,0.00126631,0.00126631,0.00126631
25,536.92,0.88795,1.09732,1.11563,0.2863,0.39501,0.33532,0.23692,0.97162,2.15688,1.16315,0.00125923,0.00125923,0.00125923
26,557.458,0.88809,1.03756,1.10008,0.41373,0.6444,0.47072,0.31054,1.01059,2.33755,1.14925,0.00125216,0.00125216,0.00125216
27,578.529,0.88615,1.00274,1.10243,0.43668,0.38776,0.40443,0.27311,1.08823,3.02251,1.2617,0.00124509,0.00124509,0.00124509
28,599.855,0.87238,0.99546,1.10187,0.52438,0.4203,0.43108,0.32018,0.9401,1.85817,1.12253,0.00123801,0.00123801,0.00123801
29,620.913,0.84398,0.95496,1.09643,0.32055,0.50959,0.37338,0.25689,0.94227,3.54873,1.09712,0.00123094,0.00123094,0.00123094
30,642.857,0.80697,0.95101,1.0746,0.44502,0.49199,0.43199,0.30963,0.93831,2.03837,1.09868,0.00122387,0.00122387,0.00122387
31,663.294,0.81703,0.94195,1.07694,0.36476,0.41008,0.36715,0.23246,1.00815,1.88029,1.18547,0.00121679,0.00121679,0.00121679
32,685.398,0.78581,0.90702,1.07045,0.57122,0.3464,0.40449,0.25063,1.12206,2.47511,1.32742,0.00120972,0.00120972,0.00120972
33,705.875,0.82312,0.91663,1.08001,0.35856,0.55169,0.4525,0.33081,0.96515,2.27267,1.11177,0.00120265,0.00120265,0.00120265
34,727.825,0.81239,0.88738,1.06961,0.59468,0.50212,0.54611,0.35803,1.02129,2.84471,1.16544,0.00119557,0.00119557,0.00119557
35,748.874,0.78592,0.88792,1.06368,0.33738,0.58071,0.45432,0.28381,0.96834,1.45558,1.13908,0.0011885,0.0011885,0.0011885
36,769.496,0.77655,0.85359,1.05062,0.3646,0.41187,0.39239,0.27088,1.01342,1.68257,1.13741,0.00118143,0.00118143,0.00118143
37,792.727,0.77392,0.87508,1.05832,0.44768,0.45887,0.40149,0.28637,0.95023,3.17381,1.11724,0.00117435,0.00117435,0.00117435
38,815.188,0.73593,0.82311,1.04692,0.48755,0.55588,0.50868,0.35543,0.94216,1.89533,1.14319,0.00116728,0.00116728,0.00116728
39,836.002,0.74679,0.77514,1.03515,0.54861,0.43537,0.45407,0.31185,0.95072,2.09581,1.09146,0.00116021,0.00116021,0.00116021
40,858.536,0.79143,0.84908,1.05537,0.52894,0.45207,0.464,0.29322,0.89479,1.49116,1.0711,0.00115313,0.00115313,0.00115313
41,880.258,0.78931,0.82615,1.05609,0.63656,0.46568,0.48599,0.3417,0.94084,3.52984,1.10279,0.00114606,0.00114606,0.00114606
42,902.581,0.75149,0.81535,1.04255,0.48944,0.52319,0.48582,0.36195,0.93148,1.75093,1.08438,0.00113898,0.00113898,0.00113898
43,925.04,0.75911,0.79892,1.04104,0.46406,0.48499,0.43255,0.28293,0.97663,2.00647,1.13278,0.00113191,0.00113191,0.00113191
44,945.82,0.7527,0.79339,1.02703,0.44731,0.4822,0.39149,0.26668,1.00571,2.31077,1.17568,0.00112484,0.00112484,0.00112484
45,968.2,0.73175,0.78086,1.02154,0.61577,0.47619,0.53307,0.35869,0.85878,3.20567,1.03122,0.00111776,0.00111776,0.00111776
46,990.189,0.74177,0.75267,1.04055,0.47177,0.50845,0.43924,0.29473,0.92006,3.16382,1.1493,0.00111069,0.00111069,0.00111069
47,1011.18,0.741,0.7753,1.03605,0.46318,0.52762,0.41604,0.25614,0.94528,2.53398,1.10439,0.00110362,0.00110362,0.00110362
48,1032.59,0.70243,0.74653,1.0201,0.52805,0.51238,0.49329,0.34396,0.95589,1.9292,1.14782,0.00109654,0.00109654,0.00109654
49,1053.77,0.70782,0.72279,1.00874,0.56328,0.5464,0.54076,0.39689,0.89742,1.42491,1.09238,0.00108947,0.00108947,0.00108947
